 3.00  7750. -5.0  2.0   0.6453    0.6787    0.0016
 3.50  7750. -5.0  2.0   0.6430    0.6815    0.0027
 4.00  7750. -5.0  2.0   0.6369    0.6904    0.0030
 4.50  7750. -5.0  2.0   0.6688    0.5231    0.0035
 5.00  7750. -5.0  2.0   0.6671    0.5231    0.0037
 1.50  8000. -5.0  2.0   0.6661    0.6002    0.0010
 2.00  8000. -5.0  2.0   0.6616    0.6053    0.0010
 2.50  8000. -5.0  2.0   0.6531    0.6223    0.0010
 3.00  8000. -5.0  2.0   0.6434    0.6445    0.0011
 3.50  8000. -5.0  2.0   0.6410    0.6520    0.0018
 4.00  8000. -5.0  2.0   0.6397    0.6548    0.0029
 4.50  8000. -5.0  2.0   0.6339    0.6628    0.0033
 5.00  8000. -5.0  2.0   0.6684    0.5035    0.0037
 2.00  8250. -5.0  2.0   0.6589    0.5750    0.0008
 2.50  8250. -5.0  2.0   0.6530    0.5846    0.0009
 3.00  8250. -5.0  2.0   0.6445    0.6038    0.0009
 3.50  8250. -5.0  2.0   0.6365    0.6239    0.0011
 4.00  8250. -5.0  2.0   0.6382    0.6251    0.0022
 4.50  8250. -5.0  2.0   0.6361    0.6299    0.0032
 5.00  8250. -5.0  2.0   0.6683    0.4915    0.0037
 1.50  8500. -5.0  2.0   0.6540    0.5661    0.0006
 2.00  8500. -5.0  2.0   0.6532    0.5543    0.0007
 2.50  8500. -5.0  2.0   0.6491    0.5574    0.0007
 3.00  8500. -5.0  2.0   0.6434    0.5699    0.0008
 3.50  8500. -5.0  2.0   0.6360    0.5890    0.0009
 4.00  8500. -5.0  2.0   0.6308    0.6043    0.0011
 4.50  8500. -5.0  2.0   0.6352    0.6018    0.0025
 5.00  8500. -5.0  2.0   0.6333    0.6038    0.0035
 2.00  8750. -5.0  2.0   0.6465    0.5413    0.0005
 2.50  8750. -5.0  2.0   0.6433    0.5382    0.0006
 3.00  8750. -5.0  2.0   0.6391    0.5454    0.0006
 3.50  8750. -5.0  2.0   0.6342    0.5588    0.0007
 4.00  8750. -5.0  2.0   0.6281    0.5758    0.0008
 4.50  8750. -5.0  2.0   0.6278    0.5815    0.0014
 5.00  8750. -5.0  2.0   0.6325    0.5778    0.0029
 1.50  9000. -5.0  2.0   0.6415    0.5593    0.0003
 2.00  9000. -5.0  2.0   0.6400    0.5334    0.0004
 2.50  9000. -5.0  2.0   0.6366    0.5254    0.0005
 3.00  9000. -5.0  2.0   0.6331    0.5279    0.0005
 3.50  9000. -5.0  2.0   0.6299    0.5362    0.0006
 4.00  9000. -5.0  2.0   0.6258    0.5495    0.0006
 4.50  9000. -5.0  2.0   0.6193    0.5667    0.0007
 5.00  9000. -5.0  2.0   0.6110    0.5862    0.0007
 2.00  9250. -5.0  2.0   0.6347    0.5278    0.0003
 2.50  9250. -5.0  2.0   0.6308    0.5159    0.0004
 3.00  9250. -5.0  2.0   0.6270    0.5151    0.0004
 3.50  9250. -5.0  2.0   0.6244    0.5198    0.0005
 4.00  9250. -5.0  2.0   0.6220    0.5285    0.0005
 4.50  9250. -5.0  2.0   0.6179    0.5412    0.0006
 5.00  9250. -5.0  2.0   0.6108    0.5573    0.0006
 2.00  9500. -5.0  2.0   0.6303    0.5238    0.0003
 2.50  9500. -5.0  2.0   0.6251    0.5095    0.0003
 3.00  9500. -5.0  2.0   0.6212    0.5056    0.0004
 3.50  9500. -5.0  2.0   0.6187    0.5078    0.0004
 4.00  9500. -5.0  2.0   0.6173    0.5127    0.0004
 4.50  9500. -5.0  2.0   0.6151    0.5207    0.0005
 5.00  9500. -5.0  2.0   0.6100    0.5332    0.0005
 2.00  9750. -5.0  2.0   0.6271    0.5199    0.0003
 2.50  9750. -5.0  2.0   0.6205    0.5038    0.0003
 3.00  9750. -5.0  2.0   0.6158    0.4983    0.0003
 3.50  9750. -5.0  2.0   0.6135    0.4978    0.0004
 4.00  9750. -5.0  2.0   0.6122    0.5007    0.0004
 4.50  9750. -5.0  2.0   0.6112    0.5051    0.0004
 5.00  9750. -5.0  2.0   0.6080    0.5134    0.0004
 2.00 10000. -5.0  2.0   0.6249    0.5157    0.0003
 2.50 10000. -5.0  2.0   0.6166    0.4991    0.0003
 3.00 10000. -5.0  2.0   0.6109    0.4922    0.0003
 3.50 10000. -5.0  2.0   0.6084    0.4901    0.0003
