RA,Dec,Efficiency
0.58903,0.03925,0.687
0.58903,0.11779,0.641
0.58903,0.19633,0.625
0.58903,0.27487,0.596
0.58903,0.35341,0.589
0.58903,0.43195,0.576
0.58903,0.51049,0.567
0.58903,0.58903,0.562
0.58903,0.66757,0.56
0.58903,0.74611,0.557
0.58903,0.82465,0.554
0.58903,0.90319,0.55
0.58903,0.98173,0.548
0.58903,1.06027,0.542
0.58903,1.13881,0.539
0.58903,1.21735,0.537
0.58903,1.29589,0.531
0.58903,1.37443,0.529
0.58903,1.45297,0.288
0.58903,1.53151,0.0
0.66757,-0.03929,0.674
0.66757,-0.11783,0.697
0.66757,-0.19637,0.766
0.66757,-0.27491,0.928
0.66757,-0.35345,0.933
0.66757,-0.43199,0.924
0.66757,-0.51053,0.901
0.66757,-0.58907,0.77
0.66757,-0.66761,0.709
0.66757,-0.74615,0.666
0.66757,-0.82469,0.525
0.66757,-0.90323,0.52
0.66757,-0.98177,0.514
0.66757,-1.06031,0.47
0.66757,-1.13885,0.252
0.66757,-1.21739,0.035
0.66757,-1.29593,0.0
0.66757,-1.37447,0.0
0.66757,-1.45301,0.0
0.66757,-1.53155,0.0
0.66757,0.03925,0.637
0.66757,0.11779,0.619
0.66757,0.19633,0.61
0.66757,0.27487,0.595
0.66757,0.35341,0.579
0.66757,0.43195,0.571
0.66757,0.51049,0.569
0.66757,0.58903,0.565
0.66757,0.66757,0.563
0.66757,0.74611,0.558
0.66757,0.82465,0.556
0.66757,0.90319,0.553
0.66757,0.98173,0.551
0.66757,1.06027,0.544
0.66757,1.13881,0.54
0.66757,1.21735,0.536
0.66757,1.29589,0.531
0.66757,1.37443,0.529
0.66757,1.45297,0.288
0.66757,1.53151,0.0
0.74611,-0.03929,0.663
0.74611,-0.11783,0.702
0.74611,-0.19637,0.756
0.74611,-0.27491,0.833
0.74611,-0.35345,0.928
0.74611,-0.43199,0.919
0.74611,-0.51053,0.888
0.74611,-0.58907,0.793
0.74611,-0.66761,0.694
0.74611,-0.74615,0.657
0.74611,-0.82469,0.538
0.74611,-0.90323,0.417
0.74611,-0.98177,0.335
0.74611,-1.06031,0.252
0.74611,-1.13885,0.034
0.74611,-1.21739,0.0
0.74611,-1.29593,0.0
0.74611,-1.37447,0.0
0.74611,-1.45301,0.0
0.74611,-1.53155,0.0
0.74611,0.03925,0.641
0.74611,0.11779,0.625
0.74611,0.19633,0.595
0.74611,0.27487,0.589
0.74611,0.35341,0.578
0.74611,0.43195,0.574
0.74611,0.51049,0.572
0.74611,0.58903,0.568
0.74611,0.66757,0.564
0.74611,0.74611,0.561
0.74611,0.82465,0.556
0.74611,0.90319,0.552
0.74611,0.98173,0.549
0.74611,1.06027,0.545
0.74611,1.13881,0.542
0.74611,1.21735,0.537
0.74611,1.29589,0.531
0.74611,1.37443,0.529
0.74611,1.45297,0.288
0.74611,1.53151,0.0
0.82465,-0.03929,0.641
0.82465,-0.11783,0.663
0.82465,-0.19637,0.702
0.82465,-0.27491,0.766
0.82465,-0.35345,0.928
0.82465,-0.43199,0.915
0.82465,-0.51053,0.888
0.82465,-0.58907,0.73
0.82465,-0.66761,0.681
0.82465,-0.74615,0.651
0.82465,-0.82469,0.538
0.82465,-0.90323,0.261
0.82465,-0.98177,0.057
0.82465,-1.06031,0.034
0.82465,-1.13885,0.0
0.82465,-1.21739,0.0
0.82465,-1.29593,0.0
0.82465,-1.37447,0.0
0.82465,-1.45301,0.0
0.82465,-1.53155,0.0
0.82465,0.03925,0.625
0.82465,0.11779,0.61
0.82465,0.19633,0.595
0.82465,0.27487,0.587
0.82465,0.35341,0.583
0.82465,0.43195,0.578
0.82465,0.51049,0.573
0.82465,0.58903,0.569
0.82465,0.66757,0.563
0.82465,0.74611,0.558
0.82465,0.82465,0.556
0.82465,0.90319,0.553
0.82465,0.98173,0.551
0.82465,1.06027,0.544
0.82465,1.13881,0.542
0.82465,1.21735,0.538
0.82465,1.29589,0.533
0.82465,1.37443,0.53
0.82465,1.45297,0.289
0.82465,1.53151,0.0
0.90319,-0.03929,0.641
0.90319,-0.11783,0.663
0.90319,-0.19637,0.702
0.90319,-0.27491,0.756
0.90319,-0.35345,0.833
0.90319,-0.43199,0.86
0.90319,-0.51053,0.836
0.90319,-0.58907,0.793
0.90319,-0.66761,0.67
0.90319,-0.74615,0.638
0.90319,-0.82469,0.362
0.90319,-0.90323,0.034
0.90319,-0.98177,0.008
0.90319,-1.06031,0.0
0.90319,-1.13885,0.0
0.90319,-1.21739,0.0
0.90319,-1.29593,0.0
0.90319,-1.37447,0.0
0.90319,-1.45301,0.0
0.90319,-1.53155,0.0
0.90319,0.03925,0.625
0.90319,0.11779,0.598
0.90319,0.19633,0.594
0.90319,0.27487,0.588
0.90319,0.35341,0.581
0.90319,0.43195,0.574
0.90319,0.51049,0.572
0.90319,0.58903,0.568
0.90319,0.66757,0.564
0.90319,0.74611,0.561
0.90319,0.82465,0.556
0.90319,0.90319,0.552
0.90319,0.98173,0.549
0.90319,1.06027,0.547
0.90319,1.13881,0.542
0.90319,1.21735,0.537
0.90319,1.29589,0.533
0.90319,1.37443,0.531
0.90319,1.45297,0.289
0.90319,1.53151,0.0
0.98173,-0.03929,0.619
0.98173,-0.11783,0.632
0.98173,-0.19637,0.657
0.98173,-0.27491,0.68
0.98173,-0.35345,0.724
0.98173,-0.43199,0.887
0.98173,-0.51053,0.888
0.98173,-0.58907,0.73
0.98173,-0.66761,0.661
0.98173,-0.74615,0.579
0.98173,-0.82469,0.307
0.98173,-0.90323,0.0
0.98173,-0.98177,0.0
0.98173,-1.06031,0.0
0.98173,-1.13885,0.0
0.98173,-1.21739,0.0
0.98173,-1.29593,0.0
0.98173,-1.37447,0.0
0.98173,-1.45301,0.0
0.98173,-1.53155,0.0
0.98173,0.03925,0.611
0.98173,0.11779,0.603
0.98173,0.19633,0.591
0.98173,0.27487,0.587
0.98173,0.35341,0.583
0.98173,0.43195,0.578
0.98173,0.51049,0.573
0.98173,0.58903,0.569
0.98173,0.66757,0.563
0.98173,0.74611,0.558
0.98173,0.82465,0.556
0.98173,0.90319,0.553
0.98173,0.98173,0.551
0.98173,1.06027,0.545
0.98173,1.13881,0.544
0.98173,1.21735,0.539
0.98173,1.29589,0.533
0.98173,1.37443,0.531
0.98173,1.45297,0.289
0.98173,1.53151,0.0
1.06027,-0.03929,0.615
1.06027,-0.11783,0.641
1.06027,-0.19637,0.659
1.06027,-0.27491,0.657
1.06027,-0.35345,0.716
1.06027,-0.43199,0.86
1.06027,-0.51053,0.836
1.06027,-0.58907,0.793
1.06027,-0.66761,0.67
